"","x"
"state",634
"peopl",617
"govern",493
"countri",416
"slaveri",335
"year",335
"time",327
"must",307
"unit",278
"work",271
"question",269
"world",255
"slave",251
"constitut",230
"shall",221
"congress",218
"america",217
"know",205
"everi",202
"just",202
"part",201
"free",199
"territori",199
"made",197
"union",196
"live",190
"missouri",178
"upon",174
"principl",170
"feder",163
"without",158
"believ",157
"peac",157
"public",155
"mani",154
"power",152
"citizen",149
"senat",149
"compromis",144
"call",139
"life",139
"give",138
"whether",138
"bill",135
"care",135
"vote",135
"still",133
"hope",132
"hous",130
"present",129
"program",129
"measur",127
"continu",124
"famili",123
"chang",122
"mean",122
"place",121
"provid",121
"back",120
"futur",120
"forc",119
"today",119
"fact",118
"long",118
"dont",117
"administr",116
"better",115
"line",115
"differ",112
"interest",111
"general",110
"servic",110
"friend",109
"parti",108
"whole",108
"secur",107
"within",107
"case",104
"among",102
"declar",100
"human",100
"support",100
"object",99
"polici",99
"subject",99
"children",98
"author",97
"hand",97
"pass",96
"thank",96
"best",95
"system",95
"issu",94
"judg",94
"less",94
"other",94
"weve",94
"begin",93
"direct",92
"north",92
"polit",92
"import",91
"south",91
"answer",90
"million",89
"repeal",88
"alreadi",87
"cours",87
"freedom",87
"elect",86
"exist",86
"problem",86
"provis",86
"respect",86
"vice",86
"bring",85
"communiti",85
"done",82
"establish",82
"foreign",82
"increas",82
"meet",82
"busi",81
"soviet",81
"white",81
"form",80
"repres",80
"respons",80
"strong",80
"equal",79
"health",79
"plan",79
"thought",79
"educ",78
"histori",78
"land",78
"noth",78
"propos",78
"spirit",78
"understand",78
"person",77
"practic",77
"talk",77
"washington",77
"number",76
"offic",76
"togeth",76
"control",75
"member",75
"came",74
"creat",74
"execut",74
"governor",74
"keep",74
"that",74
"honor",73
"prosper",73
"effect",72
"spend",72
"bush",71
"opportun",71
"purpos",71
"decis",70
"econom",70
"find",70
"requir",70
"effort",69
"lead",69
"open",69
"prohibit",69
"certain",68
"duti",68
"money",68
"stand",68
"argument",67
"becom",67
"faith",67
"necessari",67
"order",67
"trade",67
"wrong",67
"young",67
"given",66
"individu",66
"matter",66
"consid",65
"favor",65
"liberti",65
"remain",65
"show",65
"adopt",64
"economi",64
"express",64
"thus",64
"action",63
"defens",63
"justic",63
"move",63
"save",63
"father",62
"protect",62
"seem",62
"wish",62
"carri",61
"clear",61
"demand",61
"energi",61
"limit",61
"moral",61
"treati",61
"caus",60
"commit",60
"follow",60
"next",60
"republican",60
"tonight",60
"true",60
"view",60
"final",59
"mexico",59
"term",59
"dollar",58
"home",58
"institut",58
"origin",58
"proper",58
"reason",58
"restor",58
"secretari",58
"confid",57
"consider",57
"democrat",57
"independ",57
"leadership",57
"major",57
"posit",57
"receiv",57
"return",57
"decid",56
"fair",56
"feel",56
"fellow",56
"high",56
"hold",56
"negro",56
"valu",56
"inform",55
"address",54
"commerc",54
"danger",54
"extend",54
"leav",54
"natur",54
"opinion",54
"rate",54
"recommend",54
"cost",53
"drug",53
"left",53
"organ",53
"possibl",53
"sever",53
"word",53
"debt",52
"expect",52
"invest",52
"real",52
"seek",52
"side",52
"trust",52
"billion",51
"budget",51
"desir",51
"idea",51
"love",51
"oppos",51
"taken",51
"three",51
"toward",51
"bless",50
"build",50
"civil",50
"concern",50
"heart",50
"promis",50
"thousand",50
"happi",49
"intend",49
"legislatur",49
"permit",49
"circumst",48
"death",48
"experi",48
"forward",48
"frame",48
"fund",48
"generat",48
"held",48
"name",48
"past",48
"prevent",48
"sacr",48
"allow",47
"deficit",47
"extens",47
"face",47
"happen",47
"month",47
"success",47
"turn",47
"deni",46
"mere",46
"near",46
"reduc",46
"school",46
"serv",46
"admit",45
"around",45
"beyond",45
"depend",45
"dougla",45
"militari",45
"perhap",45
"preserv",45
"produc",45
"relat",45
"sens",45
"west",45
"charact",44
"citi",44
"greater",44
"illinoi",44
"percent",44
"privat",44
"rais",44
"research",44
"social",44
"whose",44
"appear",43
"includ",43
"product",43
"share",43
"societi",43
"alway",42
"choic",42
"claim",42
"incom",42
"learn",42
"prepar",42
"strength",42
"centuri",41
"common",41
"destroy",41
"engag",41
"maintain",41
"speak",41
"whatev",41
"deal",40
"inde",40
"involv",40
"john",40
"leader",40
"least",40
"parent",40
"patriot",40
"properti",40
"renew",40
"therefor",40
"told",40
"agre",39
"chief",39
"fail",39
"franc",39
"growth",39
"judgment",39
"readi",39
"regard",39
"attent",38
"challeng",38
"determin",38
"half",38
"hundr",38
"legisl",38
"mention",38
"moment",38
"occas",38
"pleas",38
"precis",38
"small",38
"brought",37
"doubt",37
"improv",37
"intern",37
"mind",37
"offer",37
"proceed",37
"remov",37
"serious",37
"session",37
"univers",37
"across",36
"conduct",36
"connect",36
"court",36
"depart",36
"divid",36
"local",36
"progress",36
"realli",36
"rule",36
"start",36
"suffici",36
"actual",35
"advanc",35
"condit",35
"convent",35
"event",35
"except",35
"loan",35
"mission",35
"oper",35
"perfect",35
"probabl",35
"second",35
"section",35
"soon",35
"struggl",35
"there",35
"theyr",35
"advantag",34
"estim",34
"liber",34
"ordin",34
"reform",34
"regul",34
"selfgovern",34
"singl",34
"speech",34
"week",34
"afford",33
"communic",33
"earth",33
"full",33
"group",33
"head",33
"join",33
"known",33
"necess",33
"portion",33
"river",33
"step",33
"women",33
"affect",32
"alon",32
"amend",32
"cant",32
"charg",32
"colleg",32
"consent",32
"consequ",32
"encourag",32
"europ",32
"exampl",32
"former",32
"fulli",32
"gentlemen",32
"late",32
"read",32
"rememb",32
"result",32
"special",32
"stop",32
"almost",31
"boundari",31
"choos",31
"develop",31
"enforc",31
"four",31
"gave",31
"ground",31
"indian",31
"insur",31
"laid",31
"negoti",31
"pledg",31
"reach",31
"safeti",31
"separ",31
"sincer",31
"suggest",31
"truth",31
"vessel",31
"weapon",31
"acquir",30
"anyth",30
"articl",30
"close",30
"domest",30
"price",30
"record",30
"southern",30
"suffer",30
"appli",29
"base",29
"campaign",29
"child",29
"contain",29
"discuss",29
"district",29
"dream",29
"employ",29
"enemi",29
"essenti",29
"labor",29
"light",29
"messag",29
"mistak",29
"oblig",29
"period",29
"restrict",29
"settlement",29
"situat",29
"specif",29
"texa",29
"till",29
"unless",29
"yield",29
"agreement",28
"break",28
"credit",28
"democraci",28
"especi",28
"exclud",28
"expens",28
"extent",28
"grow",28
"main",28
"neither",28
"oppon",28
"purchas",28
"reduct",28
"resourc",28
"safe",28
"send",28
"sentiment",28
"sometim",28
"watch",28
"accept",27
"addit",27
"affair",27
"alli",27
"appropri",27
"born",27
"carolina",27
"chanc",27
"council",27
"crisi",27
"distinguish",27
"expedi",27
"hard",27
"immedi",27
"knowledg",27
"latter",27
"minist",27
"opposit",27
"pursu",27
"report",27
"short",27
"simpli",27
"threaten",27
"took",27
"wise",27
"destruct",26
"didnt",26
"divis",26
"enabl",26
"evid",26
"exact",26
"five",26
"henri",26
"influenc",26
"isnt",26
"minut",26
"nuclear",26
"observ",26
"possess",26
"process",26
"rest",26
"revenu",26
"task",26
"welfar",26
"accord",25
"agricultur",25
"assur",25
"attack",25
"command",25
"controversi",25
"difficult",25
"either",25
"emancip",25
"evil",25
"fight",25
"inflat",25
"initi",25
"intent",25
"legal",25
"letter",25
"market",25
"neighbor",25
"promot",25
"relief",25
"repeat",25
"reward",25
"troubl",25
"understood",25
"western",25
"your",25
"africa",24
"argu",24
"exercis",24
"french",24
"languag",24
"longer",24
"proud",24
"render",24
"resolv",24
"revolut",24
"voic",24
"youv",24
"black",23
"branch",23
"commission",23
"conclus",23
"crime",23
"deepli",23
"deliber",23
"guard",23
"hear",23
"honest",23
"insist",23
"lose",23
"memori",23
"plain",23
"princip",23
"realiz",23
"recent",23
"refus",23
"resist",23
"rise",23
"settl",23
"strengthen",23
"virginia",23
"wont",23
"affirm",22
"african",22
"benefit",22
"coast",22
"compet",22
"complet",22
"cooper",22
"defend",22
"farm",22
"firm",22
"fundament",22
"goal",22
"heard",22
"industri",22
"introduc",22
"kentucki",22
"later",22
"level",22
"meant",22
"prioriti",22
"proof",22
"remark",22
"review",22
"sign",22
"sound",22
"standard",22
"student",22
"test",22
"various",22
"account",21
"acquisit",21
"afterward",21
"agenc",21
"agit",21
"appoint",21
"becam",21
"bodi",21
"candid",21
"combin",21
"consist",21
"debat",21
"design",21
"difficulti",21
"instrument",21
"passion",21
"peculiar",21
"poor",21
"press",21
"prospect",21
"prove",21
"rapid",21
"recogn",21
"reject",21
"sacrific",21
"satisfact",21
"sourc",21
"stori",21
"suppos",21
"tough",21
"absolut",20
"although",20
"announc",20
"belong",20
"decad",20
"disposit",20
"distinct",20
"east",20
"eloqu",20
"farmer",20
"fear",20
"foundat",20
"hostil",20
"impress",20
"injuri",20
"loss",20
"middl",20
"northern",20
"reflect",20
"repli",20
"resolut",20
"season",20
"seat",20
"simpl",20
"sort",20
"speaker",20
"third",20
"along",19
"amongst",19
"annual",19
"area",19
"arriv",19
"assist",19
"burden",19
"class",19
"collect",19
"contribut",19
"courag",19
"devot",19
"earn",19
"eight",19
"elimin",19
"endors",19
"fill",19
"freez",19
"fugit",19
"fulfil",19
"hour",19
"inaugur",19
"instead",19
"mutual",19
"night",19
"perceiv",19
"perform",19
"perpetu",19
"play",19
"proport",19
"sell",19
"spoken",19
"suppli",19
"sustain",19
"teach",19
"wonder",19
"admiss",18
"ahead",18
"behalf",18
"british",18
"contrari",18
"dead",18
"doesnt",18
"environ",18
"extraordinari",18
"function",18
"georg",18
"greatest",18
"intercours",18
"iran",18
"kept",18
"lower",18
"mark",18
"minor",18
"mississippi",18
"mother",18
"ohio",18
"penalti",18
"popul",18
"potenti",18
"religi",18
"sale",18
"statement",18
"surrend",18
"taxpay",18
"throughout",18
"tomorrow",18
"tribe",18
"wisdom",18
"worker",18
"written",18
"abroad",17
"acknowledg",17
"applic",17
"aris",17
"ascertain",17
"attend",17
"avoid",17
"began",17
"california",17
"cast",17
"compani",17
"contin",17
"convinc",17
"declin",17
"deep",17
"deserv",17
"enter",17
"exclus",17
"expressli",17
"failur",17
"friendship",17
"gain",17
"instanc",17
"jefferson",17
"joint",17
"massachusett",17
"notic",17
"obtain",17
"offici",17
"pacif",17
"paid",17
"prayer",17
"presidenti",17
"previous",17
"race",17
"republ",17
"repudi",17
"strateg",17
"studi",17
"substanti",17
"suprem",17
"treat",17
"ultim",17
"wast",17
"adjust",16
"amount",16
"approach",16
"assert",16
"balanc",16
"basi",16
"bear",16
"besid",16
"blame",16
"bound",16
"ceas",16
"congression",16
"constant",16
"countrymen",16
"critic",16
"deem",16
"deliv",16
"easi",16
"endur",16
"enterpris",16
"everybodi",16
"expand",16
"fall",16
"forbid",16
"forev",16
"fortun",16
"global",16
"impos",16
"imposs",16
"kansa",16
"length",16
"lift",16
"louisiana",16
"manag",16
"manner",16
"naval",16
"neighborhood",16
"pain",16
"qualiti",16
"quarter",16
"reagan",16
"refer",16
"remind",16
"reviv",16
"risk",16
"scarc",16
"scienc",16
"sought",16
"spent",16
"spread",16
"statesman",16
"street",16
"submit",16
"succeed",16
"total",16
"train",16
"violat",16
"wait",16
"went",16
"abid",15
"accomplish",15
"activ",15
"agent",15
"anyon",15
"assum",15
"basic",15
"behind",15
"career",15
"compass",15
"confront",15
"content",15
"convict",15
"defeat",15
"degre",15
"deriv",15
"digniti",15
"discharg",15
"diseas",15
"door",15
"extrem",15
"genius",15
"gradual",15
"higher",15
"highest",15
"inhabit",15
"inspir",15
"listen",15
"manifest",15
"materi",15
"medic",15
"model",15
"navig",15
"newspap",15
"none",15
"omit",15
"plant",15
"poverti",15
"resum",15
"sector",15
"sick",15
"solv",15
"spoke",15
"stay",15
"suppress",15
"sympathi",15
"technolog",15
"therebi",15
"utter",15
"violenc",15
"weak",15
"worth",15
"appreci",14
"blood",14
"britain",14
"condemn",14
"contempl",14
"contract",14
"count",14
"counti",14
"decent",14
"doubl",14
"endang",14
"endeavor",14
"examin",14
"field",14
"glori",14
"gone",14
"heaven",14
"inclin",14
"indors",14
"instruct",14
"integr",14
"king",14
"march",14
"merit",14
"motiv",14
"oath",14
"ocean",14
"ordinari",14
"owner",14
"peril",14
"project",14
"quot",14
"requisit",14
"resid",14
"retir",14
"road",14
"self",14
"sensibl",14
"spain",14
"spring",14
"steadili",14
"terror",14
"terrorist",14
"thoma",14
"twice",14
"unemploy",14
"uniform",14
"virtu",14
"water",14
"welcom",14
"wide",14
"abil",13
"appeal",13
"associ",13
"attach",13
"avail",13
"bureaucraci",13
"cabinet",13
"capit",13
"captur",13
"carter",13
"chosen",13
"clean",13
"commenc",13
"contend",13
"contest",13
"coupl",13
"current",13
"dare",13
"doctrin",13
"equival",13
"homeless",13
"ideal",13
"justifi",13
"lost",13
"mass",13
"master",13
"mile",13
"mouth",13
"nevertheless",13
"particip",13
"payment",13
"percentag",13
"perman",13
"pick",13
"preced",13
"presenc",13
"prevail",13
"profit",13
"punish",13
"reserv",13
"satisfactori",13
"seiz",13
"seven",13
"shore",13
"shown",13
"sole",13
"someon",13
"space",13
"station",13
"theyv",13
"vital",13
"voluntari",13
"abolish",12
"abund",12
"accommod",12
"accompani",12
"advoc",12
"alik",12
"angel",12
"bank",12
"blow",12
"bold",12
"breath",12
"brother",12
"competit",12
"conserv",12
"constitu",12
"consult",12
"conveni",12
"decemb",12
"defi",12
"definit",12
"depred",12
"depress",12
"destini",12
"dictat",12
"discrimin",12
"disregard",12
"distant",12
"disturb",12
"divin",12
"emigr",12
"employe",12
"fire",12
"forget",12
"front",12
"furnish",12
"gift",12
"harmoni",12
"incent",12
"introduct",12
"iowa",12
"laughter",12
"liter",12
"mine",12
"paper",12
"popular",12
"pursuit",12
"regret",12
"regular",12
"room",12
"sanction",12
"scott",12
"shape",12
"ship",12
"teacher",12
"tear",12
"therein",12
"threat",12
"throw",12
"touch",12
"tradit",12
"tranquil",12
"troop",12
"truli",12
"warn",12
"woman",12
"worthi",12
"abus",11
"adapt",11
"adher",11
"aggress",11
"ancient",11
"appar",11
"armi",11
"belief",11
"benevol",11
"board",11
"cede",11
"cent",11
"combat",11
"concess",11
"copi",11
"date",11
"deed",11
"depriv",11
"detail",11
"distress",11
"drive",11
"easili",11
"effectu",11
"effici",11
"emerg",11
"ensur",11
"excit",11
"fellowcitizen",11
"franklin",11
"frontier",11
"gratitud",11
"guarante",11
"hell",11
"heretofor",11
"implement",11
"indispens",11
"intellig",11
"interrupt",11
"invit",11
"januari",11
"juli",11
"knew",11
"latest",11
"majesti",11
"menac",11
"murder",11
"northwestern",11
"occur",11
"philadelphia",11
"port",11
"privileg",11
"quayl",11
"rang",11
"region",11
"relationship",11
"religion",11
"sake",11
"sentenc",11
"skill",11
"solemn",11
"staff",11
"star",11
"strict",11
"thereof",11
"toler",11
"town",11
"treasuri",11
"treatment",11
"unanim",11
"unfortun",11
"voter",11
"yesterday",11
"access",10
"arrang",10
"arrest",10
"assail",10
"averag",10
"borrow",10
"broad",10
"calcul",10
"capabl",10
"captiv",10
"central",10
"chair",10
"chamber",10
"church",10
"conceiv",10
"confederaci",10
"conform",10
"conscienc",10
"corpor",10
"correct",10
"dark",10
"defin",10
"delay",10
"denounc",10
"discov",10
"doubtless",10
"drop",10
"enjoy",10
"ensu",10
"entitl",10
"etern",10
"everyon",10
"everyth",10
"excel",10
"exhibit",10
"expenditur",10
"fame",10
"fast",10
"financ",10
"fine",10
"focus",10
"forth",10
"frequent",10
"fruit",10
"glad",10
"grant",10
"grate",10
"grave",10
"havent",10
"heavi",10
"histor",10
"hitherto",10
"hors",10
"humbl",10
"ignor",10
"imagin",10
"invas",10
"mighti",10
"militia",10
"mode",10
"note",10
"obedi",10
"otherwis",10
"partnership",10
"path",10
"piec",10
"prefer",10
"prescrib",10
"procur",10
"proposit",10
"push",10
"quiet",10
"recoveri",10
"request",10
"resign",10
"restrain",10
"retain",10
"rose",10
"rural",10
"select",10
"servant",10
"similar",10
"soil",10
"solid",10
"soul",10
"stabil",10
"stock",10
"strategi",10
"stronger",10
"substanc",10
"sudden",10
"superior",10
"team",10
"travel",10
"uniqu",10
"usual",10
"valuabl",10
"vast",10
"victori",10
"vision",10
"wage",10
"weight",10
"what",10
"whenev",10
"write",10
"zeal",10
"afflict",9
"alarm",9
"alter",9
"amiti",9
"apart",9
"approb",9
"barrier",9
"bibl",9
"birth",9
"bond",9
"book",9
"calam",9
"card",9
"celebr",9
"check",9
"cold",9
"coloni",9
"comfort",9
"commerci",9
"commiss",9
"complaint",9
"confirm",9
"conflict",9
"convey",9
"crucial",9
"cure",9
"datejanuari",9
"demonstr",9
"disagre",9
"draft",9
"earlier",9
"easier",9
"elig",9
"enslav",9
"entertain",9
"escap",9
"ethic",9
"experienc",9
"explain",9
"feet",9
"fiscal",9
"flexibl",9
"food",9
"freeli",9
"fresh",9
"guid",9
"impli",9
"indefinit",9
"infer",9
"injur",9
"journey",9
"jurisdict",9
"lesson",9
"lest",9
"manufactur",9
"moder",9
"nobl",9
"obvious",9
"oppress",9
"option",9
"partner",9
"pennsylvania",9
"persuad",9
"phrase",9
"polic",9
"rebuild",9
"recess",9
"respond",9
"restraint",9
"retreat",9
"revolutionari",9
"roosevelt",9
"satisfi",9
"shouldnt",9
"talent",9
"target",9
"temper",9
"tendenc",9
"titlefirst",9
"trace",9
"volunt",9
"weaken",9
"wherev",9
"abandon",8
"abraham",8
"adam",8
"approv",8
"ardent",8
"arisen",8
"aspect",8
"assembl",8
"astonish",8
"avow",8
"battl",8
"beat",8
"beauti",8
"begun",8
"border",8
"bright",8
"built",8
"burn",8
"canada",8
"capac",8
"chairman",8
"complex",8
"comprehens",8
"conclud",8
"corp",8
"cover",8
"crimin",8
"cross",8
"datedecemb",8
"dealer",8
"dealt",8
"diminish",8
"disput",8
"earnest",8
"element",8
"embrac",8
"enact",8
"enlist",8
"esteem",8
"excus",8
"exert",8
"extinct",8
"fate",8
"felt",8
"fifti",8
"financi",8
"forgotten",8
"fourth",8
"frank",8
"globe",8
"grain",8
"hero",8
"hesit",8
"hospit",8
"incid",8
"inconsist",8
"indiana",8
"instant",8
"invent",8
"kill",8
"ladi",8
"mainten",8
"matur",8
"mediterranean",8
"mental",8
"modern",8
"morn",8
"nativ",8
"neglect",8
"neutral",8
"nobodi",8
"phase",8
"politician",8
"rare",8
"ration",8
"realiti",8
"recal",8
"regardless",8
"reli",8
"resort",8
"revers",8
"revis",8
"rich",8
"salt",8
"scale",8
"sent",8
"seri",8
"signal",8
"slavehold",8
"sold",8
"solut",8
"sooner",8
"sorri",8
"steadi",8
"stood",8
"struck",8
"substitut",8
"successor",8
"summer",8
"surplus",8
"termin",8
"titl",8
"track",8
"transact",8
"unlik",8
"unto",8
"ventur",8
"vietnam",8
"vigor",8
"walk",8
"withdraw",8
"wrote",8
"yearold",8
"york",8
"affection",7
"aggrav",7
"almighti",7
"ambit",7
"anarchi",7
"anim",7
"anticip",7
"apprehens",7
"array",7
"augment",7
"caution",7
"ceremoni",7
"channel",7
"compar",7
"comparison",7
"compens",7
"complain",7
"confer",7
"congratul",7
"construct",7
"consul",7
"credibl",7
"cruiser",7
"cultur",7
"dear",7
"dedic",7
"deeper",7
"degrad",7
"denial",7
"departur",7
"deploy",7
"descend",7
"desper",7
"discord",7
"divers",7
"doctor",7
"dramat",7
"dread",7
"drift",7
"duli",7
"embarrass",7
"enorm",7
"entrust",7
"environment",7
"excess",7
"fatal",7
"fault",7
"fool",7
"fraud",7
"freemen",7
"glorious",7
"grand",7
"habit",7
"hall",7
"hill",7
"immort",7
"incur",7
"indic",7
"infant",7
"innoc",7
"innov",7
"irrit",7
"island",7
"larger",7
"latitud",7
"lincoln",7
"loui",7
"magnitud",7
"mankind",7
"miseri",7
"monument",7
"mysteri",7
"navi",7
"numer",7
"obstacl",7
"older",7
"orlean",7
"patient",7
"personnel",7
"platform",7
"poster",7
"pride",7
"promin",7
"pure",7
"realist",7
"reliev",7
"represent",7
"rever",7
"ride",7
"role",7
"shadow",7
"shock",7
"shoulder",7
"sovereign",7
"stick",7
"stipul",7
"strive",7
"taught",7
"temporari",7
"theyll",7
"thorough",7
"transfer",7
"triumph",7
"twenti",7
"undermin",7
"unwil",7
"veto",7
"victim",7
"wholli",7
"wife",7
"worri",7
"wouldnt",7
"addict",6
"allegi",6
"allianc",6
"altogeth",6
"anxious",6
"arent",6
"august",6
"award",6
"bigger",6
"boston",6
"brave",6
"burthen",6
"candor",6
"center",6
"cession",6
"chapter",6
"charter",6
"cheer",6
"cherish",6
"chiefli",6
"china",6
"christma",6
"coal",6
"cocain",6
"commend",6
"confeder",6
"conscious",6
"conspicu",6
"consum",6
"consumm",6
"consumpt",6
"correspond",6
"cultiv",6
"damag",6
"deceas",6
"deleg",6
"deplor",6
"detect",6
"devis",6
"director",6
"disappear",6
"disast",6
"discard",6
"disciplin",6
"distanc",6
"domin",6
"drawn",6
"durabl",6
"efficaci",6
"elder",6
"elev",6
"enlarg",6
"everywher",6
"exempt",6
"explan",6
"extinguish",6
"facilit",6
"factori",6
"fallen",6
"fals",6
"fifth",6
"fisheri",6
"flow",6
"fought",6
"fuel",6
"genuin",6
"georgia",6
"gold",6
"gorbachev",6
"habitu",6
"hemispher",6
"hurt",6
"immigr",6
"inch",6
"indiffer",6
"inevit",6
"inferior",6
"inner",6
"inquiri",6
"intrins",6
"judiciari",6
"kennedi",6
"knock",6
"legitim",6
"lessen",6
"lifetim",6
"magic",6
"match",6
"missil",6
"mobil",6
"modif",6
"motion",6
"multipli",6
"narrow",6
"nomin",6
"notion",6
"occupi",6
"offend",6
"omiss",6
"outlin",6
"ownership",6
"page",6
"partial",6
"permiss",6
"persist",6
"petti",6
"philosophi",6
"plenti",6
"profound",6
"prudent",6
"qualifi",6
"quick",6
"reclaim",6
"registr",6
"rendezv",6
"repel",6
"replac",6
"rice",6
"root",6
"ruin",6
"scene",6
"signific",6
"size",6
"slow",6
"spanish",6
"stabl",6
"stake",6
"status",6
"statut",6
"storm",6
"strike",6
"structur",6
"subsequ",6
"suitabl",6
"summon",6
"surviv",6
"suscept",6
"suspend",6
"sweep",6
"tabl",6
"terribl",6
"thrown",6
"tire",6
"titleaddress",6
"unfair",6
"unnecessari",6
"unpreced",6
"vigil",6
"virtual",6
"visit",6
"whos",6
"willing",6
"wind",6
"youll",6
"youth",6
"accid",5
"adequ",5
"adult",5
"adversari",5
"advic",5
"afghanistan",5
"afraid",5
"agenda",5
"agreeabl",5
"allud",5
"altern",5
"amic",5
"animos",5
"apprehend",5
"asid",5
"attain",5
"await",5
"baker",5
"bare",5
"battlefield",5
"belov",5
"benefic",5
"bind",5
"bounti",5
"brutal",5
