"","x"
"adams_speeches_000.txt",1
"adams_speeches_001.txt",1
"adams_speeches_002.txt",1
"adams_speeches_003.txt",1
"adams_speeches_004.txt",1
"adams_speeches_005.txt",1
"adams_speeches_006.txt",2
"bush_speeches_000.txt",2
"bush_speeches_001.txt",2
"bush_speeches_002.txt",2
"bush_speeches_003.txt",2
"bush_speeches_004.txt",2
"bush_speeches_005.txt",2
"clinton_speeches_000.txt",2
"clinton_speeches_001.txt",2
"clinton_speeches_002.txt",2
"clinton_speeches_003.txt",2
"clinton_speeches_004.txt",2
"clinton_speeches_005.txt",2
"gwbush_speeches_000.txt",2
"gwbush_speeches_001.txt",2
"gwbush_speeches_002.txt",2
"gwbush_speeches_003.txt",2
"gwbush_speeches_004.txt",2
"gwbush_speeches_005.txt",2
"jefferson_speeches_001.txt",1
"jefferson_speeches_002.txt",1
"jefferson_speeches_003.txt",1
"jefferson_speeches_004.txt",1
"jefferson_speeches_005.txt",1
"jefferson_speeches_006.txt",1
"lincoln_speeches_000.txt",1
"lincoln_speeches_001.txt",1
"lincoln_speeches_002.txt",1
"lincoln_speeches_003.txt",2
"lincoln_speeches_004.txt",1
"lincoln_speeches_005.txt",1
"reagan_speeches_000.txt",2
"reagan_speeches_001.txt",2
"reagan_speeches_002.txt",2
"reagan_speeches_003.txt",2
"reagan_speeches_004.txt",2
"reagan_speeches_005.txt",2
"washington_speeches_000.txt",1
"washington_speeches_001.txt",1
"washington_speeches_002.txt",1
"washington_speeches_003.txt",1
"washington_speeches_004.txt",1
"washington_speeches_005.txt",1
